Date,BankCredit
2021-05-07,10870006.14609
2021-05-21,10831221.47883
2021-06-04,10843921.14219
2021-06-18,10841852.00096
2021-07-02,10928554.46623
2021-07-16,10878497.05455
2021-07-30,10910566.77961
2021-08-13,10888834.2306
2021-08-27,10897601.02207
2021-09-10,10912705.14346
2021-09-24,10956816.87652
2021-10-08,11014966.82875
2021-10-22,11044619.14259
2021-11-05,11161089.40641
2021-11-19,11162193.47978
2021-12-03,11158982.33821
2021-12-17,11202146.18004
2021-12-31,11582087.1494
2022-01-14,11399077.36777
2022-01-28,11468976.86226
2022-02-11,11561762.37219
2022-02-25,11643716.86027
2022-03-11,11712341.36098
2022-03-25,11891314.26997
2022-04-08,11965873.00676
2022-04-22,11956336.16382
2022-05-06,12040719.29223
2022-05-20,12038119.23753
2022-06-03,12143120.66975
2022-06-17,12150353.4
2022-07-01,12382791.62
2022-07-15,12280984.8
2022-07-29,12369350.00407
2022-08-12,12425718.31469
2022-08-26,12458657.89222
2022-09-09,12551285.8372599
2022-09-23,12629874.7859
2022-10-07,12858805.78891
2022-10-21,12883403.90972
2022-11-04,12926232.67832
2022-11-18,12947813.2994599
2022-12-02,13106244.0027799
2022-12-16,13154442.3307799
2022-12-30,13306853.04999
2023-01-13,13276759.04034
2023-01-27,13337536.22291
2023-02-10,13418060.33604
2023-02-24,13450268.70523
2023-03-10,13548592.79557
2023-03-24,13675235.33
2023-04-07,13850556.4537599
2023-04-21,13859446.82813
2023-05-05,13900688.40174
2023-05-19,13893970.45037
2023-06-02,14009694.99516
2023-06-16,14023498.8279199
2023-06-30,14383718.15768
2023-07-14,14746329.05681
2023-07-28,14787123.4
2023-08-11,14860791.96
2023-08-25,14917311.57
2023-09-08,15039168.66
2023-09-22,15151314.19
2023-10-06,15337992.28
2023-10-20,15457886.81
2023-11-03,15584525.6
2023-11-17,15620807.1
2023-12-01,15825455.71
2023-12-15,15779480.1
2023-12-29,15961943.97
2024-01-12,15969925.82
2024-01-26,16043591.8
2024-02-09,16147476.63
2024-02-23,16214134.77
2024-03-08,16313558.87
2024-03-22,16432163.93
2024-04-05,16585169.7
2024-04-19,16491796.34
2024-05-03,16631720.36
2024-05-17,16601013.84
2024-05-31,16782881.64
2024-06-14,16706417.54
2024-06-28,16886028.59
2024-07-12,16812118.24
2024-07-26,16813934.78
2024-08-09,16880301.08
2024-08-23,16945308.62
2024-09-06,17046601.95
2024-09-20,17125052.0
2024-10-04,17297778.17
2024-10-18,17237674.19
2024-11-01,17419531.89
2024-11-15,17362817.85
2024-11-29,17508955.68
2024-12-13,17586881.31
2024-12-27,17743037.4718
2025-01-10,17799393.73
2025-01-24,17868478.53
2025-02-07,17963428.88
2025-02-21,17989979.44
2025-03-07,18125412.6
2025-03-21,18243972.33
2025-04-04,18402083.28
2025-04-18,18187891.45
2025-05-02,18284956.79
2025-05-16,18227711.87
2025-05-30,18287376.91
2025-06-13,18313962.71
2025-06-27,18486199.66
2025-07-11,18469892.58
2025-07-25,18501377.2
2025-08-08,18606166.74
2025-08-22,18646841.82
2025-09-05,18800685.56
2025-09-19,18902860.72
2025-10-03,19261332.1
2025-10-17,19235754.48
2025-10-31,19393655.36
2026-03-31,21359897.02
2026-05-15,21186890.4355085
2026-05-31,21515402.48
